James E. Stewart,10252024,40,35,white,1,,
1,474,2,5,4,FALSE,TRUE,1,1
2,331,4,4,5,FALSE,FALSE,2,1
3,105,9,3,4,FALSE,FALSE,2,1
4,329,5,4,5,FALSE,FALSE,2,1
5,352,1,4,5,FALSE,FALSE,2,1
6,144,7,3,4,FALSE,FALSE,2,1
7,489,3,5,6,FALSE,FALSE,2,1
8,317,6,4,4,FALSE,FALSE,1,1
9,121,8,3,3,TRUE,FALSE,1,1
Twin Hills CC,11102024,94,72,white,2,,
1,386,5,4,5,FALSE,FALSE,1,2
2,570,3,5,6,FALSE,FALSE,2,2
3,345,11,4,5,FALSE,TRUE,3,2
4,138,17,3,3,FALSE,FALSE,1,2
5,480,13,5,5,TRUE,TRUE,2,2
6,350,15,4,6,FALSE,FALSE,2,2
7,193,9,3,4,FALSE,FALSE,2,2
8,405,1,4,6,TRUE,FALSE,3,2
9,373,7,4,6,FALSE,FALSE,2,2
10,273,18,4,5,TRUE,FALSE,2,2
11,160,14,3,4,FALSE,FALSE,1,2
12,373,4,4,6,TRUE,FALSE,3,2
13,530,16,5,5,FALSE,FALSE,2,2
14,183,10,3,5,FALSE,FALSE,3,2
15,377,6,4,5,TRUE,FALSE,2,2
16,547,12,5,6,TRUE,TRUE,3,2
17,373,8,4,6,FALSE,FALSE,3,2
18,423,2,4,6,FALSE,FALSE,3,2
